ID,Delivery_person_Age,Delivery_person_Ratings,Weather,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Distance_km,Prep_Time_min,Order_Hour,Time_taken(min)_Final,Data_Source
0x394e,39.0,4.6,Sunny,Jam,0,Meal,scooter,1,No,Metropolitian,13.682504886916606,15.0,19,28.0,Actual (Training)
0x1341,32.0,5.0,Windy,Medium,2,Snack,bicycle,1,No,Semi-Urban,12.10015723816894,5.0,17,20.0,Actual (Training)
0x8bdb,21.0,4.9,Windy,Medium,2,Meal,motorcycle,1,No,Semi-Urban,9.220418694558179,5.0,17,23.0,Actual (Training)
0x7a0e,27.0,4.7,Windy,Jam,1,Buffet,bicycle,1,No,Semi-Urban,10.756383853403822,10.0,19,28.0,Actual (Training)
0x3175,33.0,4.8,Stormy,Medium,2,Drinks,bicycle,1,No,Semi-Urban,7.448311138215936,5.0,17,27.0,Actual (Training)
0xc54a,29.0,4.7,Stormy,Medium,2,Buffet,bicycle,1,No,Semi-Urban,4.395281348843586,10.0,18,28.0,Actual (Training)
0x1f1d,31.0,4.6,Sunny,Low,0,Meal,scooter,0,No,Semi-Urban,7.772466272035551,10.0,23,22.0,Actual (Training)
0x29b9,35.0,4.6,Fog,Low,0,Meal,scooter,1,No,Metropolitian,1.5525609831264333,15.0,9,25.0,Actual (Training)
0x2681,23.0,4.6,Windy,Jam,1,Drinks,scooter,1,No,Metropolitian,12.463888116757749,5.0,20,23.0,Actual (Training)
0x7ebf,22.0,4.7,Stormy,Jam,2,Snack,bicycle,1,No,Metropolitian,12.463861442061555,10.0,19,26.0,Actual (Training)
0x82e4,21.0,4.8,Sandstorms,Medium,2,Buffet,scooter,1,No,Semi-Urban,6.210607623190057,15.0,16,23.0,Actual (Training)
0x4a7c,27.0,4.7,Sandstorms,Medium,2,Drinks,motorcycle,1,No,Semi-Urban,9.315745106316243,5.0,18,21.0,Actual (Training)
0x7141,27.0,4.8,Cloudy,Low,0,Buffet,scooter,1,No,Semi-Urban,1.5203447277401048,15.0,10,16.0,Actual (Training)
0x3b07,28.0,4.7,Cloudy,Low,0,Buffet,scooter,1,No,Semi-Urban,9.12108977493757,10.0,23,24.0,Actual (Training)
0xc86,37.0,4.9,Fog,Medium,2,Meal,bicycle,1,No,Semi-Urban,7.763102784727143,5.0,18,18.0,Actual (Training)
0x4a11,31.0,4.7,Sandstorms,Jam,0,Drinks,scooter,1,No,Metropolitian,12.074047498027575,15.0,20,46.0,Actual (Training)
0x5f12,30.0,4.7,Cloudy,Medium,0,Snack,scooter,1,No,Semi-Urban,6.037193175494637,15.0,16,26.0,Actual (Training)
0x4f8c,29.0,4.8,Sandstorms,Medium,2,Meal,bicycle,1,No,Semi-Urban,4.561113588992224,10.0,17,28.0,Actual (Training)
0x788e,27.0,5.0,Fog,Medium,2,Snack,motorcycle,0,No,Semi-Urban,16.72238039080485,5.0,17,26.0,Actual (Training)
0xdfbc,30.0,4.7,Sunny,Low,1,Snack,scooter,0,No,Metropolitian,8.929003109241874,10.0,22,15.0,Actual (Training)
0x7e1c,27.0,4.8,Sunny,Medium,0,Buffet,scooter,0,No,Metropolitian,12.435256015114375,10.0,18,19.0,Actual (Training)
0x974a,26.0,4.7,Cloudy,Jam,0,Meal,scooter,1,2,Semi-Urban,16.63651695459671,15.0,20,45.0,Actual (Training)
0xa35b,31.0,4.5,Windy,Jam,2,Buffet,bicycle,1,No,Semi-Urban,13.405971717381743,15.0,21,43.0,Actual (Training)
0x6317,20.0,4.9,Sunny,Low,1,Meal,bicycle,0,No,Metropolitian,4.561152341209805,10.0,23,21.0,Actual (Training)
0x3cf6,26.0,5.0,Stormy,Jam,2,Snack,bicycle,1,No,Semi-Urban,7.762461854550194,5.0,21,23.0,Actual (Training)
0xc6a6,28.0,4.6,Sandstorms,Low,2,Snack,bicycle,0,3,Metropolitian,9.059804963936871,10.0,23,11.0,Actual (Training)
0x7e00,34.0,4.8,Stormy,Jam,2,Snack,bicycle,1,No,Metropolitian,9.121044921629522,15.0,20,31.0,Actual (Training)
0xaf93,22.0,5.0,Sunny,Low,2,Buffet,bicycle,1,No,Semi-Urban,9.314419797615273,15.0,23,20.0,Actual (Training)
0xafd8,25.0,4.8,Cloudy,Low,2,Meal,scooter,1,No,Semi-Urban,1.5299884479314707,10.0,10,19.0,Actual (Training)
0x7722,31.0,4.8,Sunny,Medium,1,Snack,scooter,1,No,Semi-Urban,6.218076509100711,5.0,16,21.0,Actual (Training)
0x947d,26.0,4.7,Fog,Low,1,Snack,bicycle,0,No,Semi-Urban,3.05960707159485,10.0,10,18.0,Actual (Training)
0x3bef,33.0,4.6,Sunny,Medium,0,Snack,scooter,0,No,Semi-Urban,4.6576255671472415,5.0,18,28.0,Actual (Training)
0x1219,38.0,5.0,Sandstorms,Jam,2,Snack,bicycle,1,No,Semi-Urban,9.12210553959038,10.0,20,32.0,Actual (Training)
0xb965,23.0,4.7,Fog,Medium,1,Buffet,scooter,1,No,Metropolitian,9.314976789360625,5.0,17,12.0,Actual (Training)
0x5bc6,23.0,4.7,Sandstorms,Low,1,Buffet,bicycle,1,No,Metropolitian,1.558114851289754,15.0,10,12.0,Actual (Training)
0x5ffb,36.0,4.9,Windy,Medium,0,Buffet,scooter,2,No,Metropolitian,6.037116126732456,10.0,16,34.0,Actual (Training)
0x5609,36.0,4.9,Fog,Low,2,Meal,motorcycle,1,No,Semi-Urban,12.074047498027575,15.0,22,29.0,Actual (Training)
0x8e43,25.0,4.8,Sandstorms,Medium,1,Buffet,bicycle,0,No,Semi-Urban,13.584306064167167,15.0,19,24.0,Actual (Training)
0x9cbc,24.0,5.0,Cloudy,Medium,0,Snack,scooter,1,No,Semi-Urban,16.59866734050554,5.0,17,44.0,Actual (Training)
0xb587,34.0,4.4,Windy,Jam,1,Snack,bicycle,0,No,Semi-Urban,16.903843893839564,5.0,20,44.0,Actual (Training)
0x5167,22.0,4.7,Stormy,Jam,2,Meal,bicycle,0,No,Semi-Urban,8.937863682516157,15.0,21,20.0,Actual (Training)
0xac47,37.0,4.8,Sunny,Low,1,Meal,scooter,1,3,Semi-Urban,4.528282400326011,5.0,22,12.0,Actual (Training)
0xd161,21.0,4.9,Sunny,Medium,1,Snack,bicycle,1,No,Semi-Urban,4.395007361329002,15.0,18,19.0,Actual (Training)
0x8d04,20.0,4.9,Fog,Jam,1,Snack,bicycle,1,No,Semi-Urban,17.09819699771769,10.0,21,33.0,Actual (Training)
0x13ac,30.0,4.7,Windy,Low,0,Meal,scooter,1,No,Semi-Urban,3.0295617213530037,15.0,9,24.0,Actual (Training)
0xa57f,37.0,4.9,Sunny,Jam,0,Drinks,scooter,0,No,Metropolitian,4.544232356931077,10.0,21,23.0,Actual (Training)
0xb9e5,28.0,4.9,Sunny,Low,1,Meal,bicycle,1,No,Semi-Urban,2.979750394372844,15.0,8,17.0,Actual (Training)
0x8b41,38.0,4.7,Sunny,Low,0,Meal,scooter,1,No,Semi-Urban,3.0644857806760535,15.0,10,20.0,Actual (Training)
0xbc1a,26.0,4.8,Stormy,Low,2,Snack,bicycle,0,No,Semi-Urban,3.0295246341921644,5.0,8,18.0,Actual (Training)
0x9156,25.0,4.8,Cloudy,Low,0,Buffet,scooter,1,No,Semi-Urban,9.313691518325752,10.0,22,21.0,Actual (Training)
0xca1,20.0,4.7,Sunny,Medium,2,Meal,bicycle,1,No,Semi-Urban,6.14663364596065,15.0,15,10.0,Actual (Training)
0xa94b,25.0,4.7,Sunny,Medium,0,Snack,scooter,1,No,Semi-Urban,9.22083460710881,5.0,19,15.0,Actual (Training)
0x45fa,28.0,4.9,Sunny,Low,0,Drinks,scooter,0,No,Semi-Urban,3.0734222587643045,10.0,10,14.0,Actual (Training)
0xd0d0,30.0,4.7,Sandstorms,Jam,1,Drinks,bicycle,1,No,Semi-Urban,10.444817974537816,1380.0,20,38.0,Actual (Training)
0x81c7,24.0,4.9,Fog,Low,0,Snack,scooter,0,No,Metropolitian,20.856833724898493,10.0,22,23.0,Actual (Training)
0xc96,35.0,5.0,Cloudy,Jam,0,Meal,scooter,1,No,Semi-Urban,9.348403522662325,15.0,19,33.0,Actual (Training)
0x1e37,21.0,4.5,Fog,Medium,0,Buffet,scooter,1,No,Semi-Urban,12.23475004893086,5.0,17,36.0,Actual (Training)
0x5249,32.0,4.8,Sunny,Jam,2,Buffet,bicycle,1,No,Semi-Urban,12.16161548161981,5.0,20,15.0,Actual (Training)
0x3158,24.0,4.1,Stormy,Low,0,Meal,scooter,1,No,Semi-Urban,3.116121839413475,10.0,10,16.0,Actual (Training)
0x84fe,20.0,4.8,Cloudy,Low,2,Meal,bicycle,1,No,Semi-Urban,12.464422665211348,5.0,22,27.0,Actual (Training)
0xa4af,27.0,4.0,Windy,High,0,Drinks,scooter,1,No,Semi-Urban,6.209976450705328,10.0,13,33.0,Actual (Training)
0x26ae,23.0,4.8,Sandstorms,Jam,2,Meal,motorcycle,1,No,Metropolitian,12.25501434480783,5.0,21,21.0,Actual (Training)
0x7a12,32.0,4.0,Sandstorms,Medium,1,Snack,scooter,2,No,Semi-Urban,6.080888252609821,5.0,15,32.0,Actual (Training)
0x37da,28.0,4.9,Stormy,Medium,2,Snack,bicycle,1,No,Metropolitian,19.91296718928853,10.0,17,29.0,Actual (Training)
0x97ca,25.0,4.2,Sandstorms,Jam,0,Meal,scooter,1,No,Semi-Urban,13.788747286078188,5.0,20,35.0,Actual (Training)
0x2924,31.0,3.4,Sunny,Low,0,Meal,scooter,1,No,Metropolitian,14.022298282479131,5.0,23,31.0,Actual (Training)
0x6ecf,20.0,5.0,Fog,Jam,1,Drinks,bicycle,1,No,Semi-Urban,13.583302501334014,5.0,22,41.0,Actual (Training)
0x7a6a,38.0,4.7,Sunny,Medium,0,Buffet,scooter,1,No,Semi-Urban,7.790401360105752,10.0,18,21.0,Actual (Training)
0x628c,31.0,4.8,Sandstorms,Low,1,Snack,bicycle,0,No,Semi-Urban,7.762556904358442,10.0,22,24.0,Actual (Training)
0x52e2,36.0,4.8,Sandstorms,Medium,0,Buffet,scooter,1,No,Semi-Urban,19.37374583495492,5.0,18,36.0,Actual (Training)
0xa200,30.0,4.7,Windy,Low,0,Drinks,scooter,1,No,Semi-Urban,16.72143013885536,5.0,22,24.0,Actual (Training)
0x2997,24.0,4.1,Cloudy,Jam,2,Buffet,motorcycle,1,No,Semi-Urban,19.88431857497891,15.0,20,39.0,Actual (Training)
0x7008,28.0,4.8,Windy,Low,1,Snack,bicycle,1,No,Semi-Urban,1.5581244322254744,15.0,9,18.0,Actual (Training)
0xc72d,26.0,4.6,Fog,High,1,Buffet,scooter,0,No,Semi-Urban,1.5263914730559738,5.0,11,22.0,Actual (Training)
0xc3ed,23.0,4.7,Fog,Jam,1,Buffet,scooter,1,No,Semi-Urban,19.472033277853686,15.0,21,33.0,Actual (Training)
0x88c1,28.0,4.8,Stormy,Jam,1,Buffet,bicycle,0,No,Semi-Urban,13.68148555689137,15.0,19,19.0,Actual (Training)
0x6d6c,35.0,4.8,Cloudy,Low,2,Buffet,scooter,1,No,Semi-Urban,7.762556904358442,15.0,23,18.0,Actual (Training)
0x7421,30.0,5.0,Windy,Jam,2,Snack,scooter,1,No,Semi-Urban,7.762092914972186,5.0,21,25.0,Actual (Training)
0x69ed,34.0,5.0,Sandstorms,High,0,Snack,scooter,1,No,Semi-Urban,1.5367312329664098,5.0,11,33.0,Actual (Training)
0x78c2,27.0,4.4,Cloudy,Medium,1,Snack,bicycle,1,No,Semi-Urban,20.85094842431187,10.0,17,32.0,Actual (Training)
0x6eaa,29.0,4.6,Windy,Jam,1,Snack,scooter,1,No,Semi-Urban,9.192770952683546,15.0,20,20.0,Actual (Training)
0x18b9,30.0,4.7,Sunny,Low,2,Meal,scooter,1,No,Metropolitian,9.056672984546829,215.0,20,12.0,Actual (Training)
0xcf84,37.0,4.6,Sunny,Jam,0,Buffet,scooter,1,No,Semi-Urban,7.461394236453525,15.0,19,24.0,Actual (Training)
0xb4e6,36.0,5.0,Fog,Jam,2,Drinks,scooter,1,No,Semi-Urban,16.72211869180285,5.0,21,44.0,Actual (Training)
0x4e85,31.0,4.4,Cloudy,Medium,1,Snack,bicycle,1,2,Semi-Urban,13.989695713800396,5.0,18,44.0,Actual (Training)
0x1255,30.0,4.8,Stormy,Low,0,Drinks,scooter,1,No,Semi-Urban,10.602497166339631,15.0,0,20.0,Actual (Training)
0x7740,24.0,4.3,Fog,Jam,1,Snack,scooter,1,No,Semi-Urban,10.60216485230212,10.0,19,34.0,Actual (Training)
0xb1b7,39.0,4.6,Cloudy,Low,2,Buffet,bicycle,1,No,Semi-Urban,4.53754359959467,5.0,23,16.0,Actual (Training)
0x2163,37.0,4.3,Fog,High,1,Drinks,bicycle,0,No,Metropolitian,6.217525604924386,5.0,13,36.0,Actual (Training)
0x725b,31.0,5.0,Sandstorms,Medium,0,Snack,scooter,1,No,Semi-Urban,12.099096916817196,5.0,18,32.0,Actual (Training)
0x538f,22.0,4.8,Stormy,Jam,1,Drinks,bicycle,1,No,Semi-Urban,10.562878909252845,5.0,19,28.0,Actual (Training)
0xabad,34.0,3.5,Sandstorms,Medium,1,Meal,bicycle,1,No,Semi-Urban,17.076492495612452,5.0,17,38.0,Actual (Training)
0xd326,27.0,4.9,Fog,Medium,1,Snack,bicycle,0,No,Semi-Urban,12.107734496942113,5.0,17,26.0,Actual (Training)
0xe120,34.0,4.1,Fog,Jam,2,Buffet,motorcycle,0,No,Semi-Urban,17.165842266656078,15.0,20,48.0,Actual (Training)
0xb900,24.0,4.6,Sunny,Low,0,Snack,scooter,1,No,Semi-Urban,4.527973054243058,10.0,22,19.0,Actual (Training)
0x1874,29.0,4.6,Windy,High,0,Drinks,scooter,1,No,Semi-Urban,3.104402431477901,10.0,11,22.0,Actual (Training)
0xdde9,25.0,4.9,Fog,Medium,1,Meal,scooter,1,No,Semi-Urban,20.506934775865457,5.0,18,31.0,Actual (Training)
0x26e0,36.0,4.4,Sandstorms,Jam,0,Buffet,scooter,1,No,Metropolitian,12.25659774869038,15.0,21,51.0,Actual (Training)
0x26b0,33.0,4.7,Stormy,Low,1,Meal,bicycle,1,No,Metropolitian,1.520309052937885,5.0,10,24.0,Actual (Training)
0xcc1,22.0,4.8,Fog,High,1,Buffet,scooter,0,No,Semi-Urban,1.5369113551350593,5.0,11,22.0,Actual (Training)
0xae17,20.0,4.9,Stormy,Jam,0,Buffet,scooter,0,No,Semi-Urban,4.65825552423237,15.0,20,19.0,Actual (Training)
0x478d,37.0,4.3,Fog,Low,0,Meal,scooter,2,No,Semi-Urban,10.425475100056353,5.0,22,43.0,Actual (Training)
0x7b21,22.0,4.7,Cloudy,Medium,1,Snack,bicycle,1,No,Semi-Urban,4.674220356187266,5.0,17,12.0,Actual (Training)
0xd554,25.0,4.5,Stormy,Jam,1,Drinks,bicycle,0,No,Semi-Urban,19.042397449611613,15.0,21,19.0,Actual (Training)
0xdebb,38.0,4.7,Windy,Low,1,Buffet,scooter,1,No,Metropolitian,10.416963824321584,5.0,22,28.0,Actual (Training)
0xae1f,29.0,4.2,Windy,Low,0,Buffet,scooter,1,No,Semi-Urban,3.0251533668867396,15.0,10,21.0,Actual (Training)
0x46fa,20.0,4.9,Fog,Jam,2,Buffet,scooter,0,No,Metropolitian,7.7614224372753755,15.0,21,21.0,Actual (Training)
0x8183,21.0,4.7,Sunny,Jam,2,Drinks,bicycle,0,No,Semi-Urban,4.596576884051942,5.0,20,13.0,Actual (Training)
0x3b4f,27.0,4.7,Fog,Low,2,Drinks,motorcycle,1,No,Semi-Urban,1.5545625412407003,5.0,8,14.0,Actual (Training)
0x9833,35.0,4.8,Windy,Low,0,Drinks,scooter,1,No,Semi-Urban,10.880951367269885,10.0,23,28.0,Actual (Training)
0x8ea7,35.0,4.9,Sunny,Low,1,Snack,scooter,0,No,Metropolitian,9.313705947300656,15.0,23,18.0,Actual (Training)
0x20ef,23.0,5.0,Stormy,Medium,2,Buffet,bicycle,1,No,Semi-Urban,17.076725433736602,15.0,17,26.0,Actual (Training)
0xc88e,30.0,4.8,Sunny,Low,1,Drinks,scooter,1,No,Metropolitian,17.164609401577533,5.0,22,28.0,Actual (Training)
0xd358,28.0,4.6,Fog,Jam,2,Meal,bicycle,1,No,Metropolitian,9.157688902749936,10.0,21,28.0,Actual (Training)
0x7511,31.0,4.0,Cloudy,Jam,2,Buffet,scooter,1,No,Semi-Urban,17.0970739431768,10.0,19,40.0,Actual (Training)
0x8290,32.0,4.8,Sandstorms,Low,0,Meal,scooter,0,No,Semi-Urban,17.09752492719776,5.0,23,20.0,Actual (Training)
0x118a,34.0,4.6,Fog,Jam,2,Buffet,motorcycle,1,No,Semi-Urban,7.573470125639189,15.0,20,33.0,Actual (Training)
0x33e3,37.0,4.9,Sandstorms,Low,1,Buffet,bicycle,0,No,Semi-Urban,20.252959556511744,15.0,22,25.0,Actual (Training)
0xe037,39.0,5.0,Fog,Low,0,Buffet,scooter,0,No,Semi-Urban,4.541151313453414,5.0,23,28.0,Actual (Training)
0x6926,35.0,4.8,Cloudy,Low,0,Buffet,scooter,1,No,Semi-Urban,3.0188687420087144,5.0,8,27.0,Actual (Training)
0x521c,33.0,4.7,Fog,Medium,2,Snack,scooter,0,No,Semi-Urban,9.074684164326316,5.0,17,17.0,Actual (Training)
0x67ab,33.0,4.4,Sandstorms,Jam,0,Meal,scooter,1,2,Semi-Urban,10.641057010178418,15.0,20,43.0,Actual (Training)
0xf10,32.0,4.9,Windy,Low,0,Meal,scooter,1,No,Semi-Urban,12.293508819559186,5.0,22,25.0,Actual (Training)
0x5690,33.0,4.8,Cloudy,Jam,1,Drinks,bicycle,2,No,Metropolitian,19.91059239709516,15.0,20,44.0,Actual (Training)
0xcbb4,37.0,4.8,Cloudy,Medium,0,Snack,scooter,1,No,Semi-Urban,4.494246018081996,15.0,18,32.0,Actual (Training)
0x8ef2,24.0,4.8,Sunny,Jam,2,Meal,bicycle,1,No,Metropolitian,13.762097103297643,15.0,21,18.0,Actual (Training)
0x6008,34.0,4.6,Sandstorms,High,0,Snack,scooter,1,No,Semi-Urban,6.210169290102755,5.0,14,36.0,Actual (Training)
0x46f1,21.0,4.4,Windy,Jam,0,Snack,scooter,1,No,Semi-Urban,12.434913132379245,15.0,20,38.0,Actual (Training)
0x38ff,27.0,4.7,Cloudy,Jam,1,Drinks,scooter,0,No,Metropolitian,4.46931202175492,5.0,19,34.0,Actual (Training)
0x1e23,35.0,5.0,Sandstorms,Low,2,Snack,bicycle,1,No,Semi-Urban,19.760743726313585,15.0,23,16.0,Actual (Training)
0x4a89,35.0,4.4,Sandstorms,Jam,1,Buffet,scooter,1,No,Semi-Urban,10.7572047086705,15.0,21,32.0,Actual (Training)
0x90fe,31.0,4.1,Sandstorms,Low,0,Meal,scooter,1,No,Metropolitian,3.059554247595471,5.0,9,32.0,Actual (Training)
0xafb3,34.0,4.7,Sandstorms,Medium,2,Snack,motorcycle,1,No,Semi-Urban,12.418462399627495,5.0,18,30.0,Actual (Training)
0x6300,21.0,4.5,Sunny,Jam,2,Meal,motorcycle,0,No,Metropolitian,4.560926278066122,5.0,19,14.0,Actual (Training)
0xb017,29.0,4.7,Sunny,Low,1,Drinks,scooter,1,No,Semi-Urban,9.121049806498666,10.0,23,15.0,Actual (Training)
0x90d1,30.0,4.7,Cloudy,Medium,1,Snack,bicycle,1,No,Metropolitian,6.058848944530401,15.0,16,15.0,Actual (Training)
0xd123,30.0,4.8,Sunny,High,2,Meal,bicycle,1,No,Semi-Urban,6.176431857672641,10.0,14,21.0,Actual (Training)
0x31ca,35.0,4.4,Sandstorms,Low,0,Buffet,scooter,1,No,Semi-Urban,3.104827485600479,15.0,8,26.0,Actual (Training)
0x581e,32.0,4.4,Fog,Low,0,Snack,scooter,1,No,Metropolitian,16.63541627418215,15.0,23,41.0,Actual (Training)
0xb9fa,27.0,5.0,Cloudy,Low,2,Snack,bicycle,1,No,Metropolitian,1.5525609831264333,10.0,10,10.0,Actual (Training)
0x6720,39.0,4.7,Sunny,High,2,Drinks,scooter,0,No,Semi-Urban,6.1198667120156145,5.0,14,23.0,Actual (Training)
0x8641,33.0,4.8,Fog,Jam,0,Buffet,scooter,1,No,Semi-Urban,7.448937379729502,15.0,19,31.0,Actual (Training)
0x2310,37.0,4.3,Stormy,Jam,0,Meal,scooter,1,2,Semi-Urban,9.314044064891696,15.0,20,46.0,Actual (Training)
0x5dff,35.0,4.9,Cloudy,Low,0,Meal,scooter,1,No,Semi-Urban,1.513073455729525,5.0,8,25.0,Actual (Training)
0x2e3e,24.0,4.9,Sandstorms,Jam,1,Drinks,scooter,0,No,Semi-Urban,12.256834609677016,15.0,20,27.0,Actual (Training)
0xdfe,27.0,4.5,Sandstorms,Medium,1,Drinks,scooter,0,No,Metropolitian,7.60168152834193,5.0,17,21.0,Actual (Training)
0x9399,35.0,4.6,Sunny,Low,2,Buffet,scooter,1,No,Semi-Urban,13.631339548300275,15.0,22,17.0,Actual (Training)
0x644,30.0,4.7,Sunny,Jam,0,Meal,scooter,1,No,Semi-Urban,12.41960204102968,5.0,20,31.0,Actual (Training)
0x1bde,25.0,4.6,Fog,Medium,1,Drinks,bicycle,0,No,Metropolitian,20.20729968887068,10.0,19,25.0,Actual (Training)
0x52c,30.0,4.7,Sunny,Low,1,Drinks,scooter,1,No,Semi-Urban,19.9172484157288,1315.0,20,21.0,Actual (Training)
0x9f1f,37.0,3.5,Cloudy,Low,1,Buffet,bicycle,1,No,Semi-Urban,19.914686965545187,10.0,23,35.0,Actual (Training)
0x6cbd,21.0,4.9,Cloudy,Low,0,Buffet,scooter,1,No,Metropolitian,11.916994721599234,5.0,22,20.0,Actual (Training)
0xadb0,31.0,4.6,Sunny,Medium,0,Drinks,scooter,1,No,Semi-Urban,7.546800541055753,10.0,18,21.0,Actual (Training)
0xac90,35.0,4.5,Cloudy,Low,1,Snack,bicycle,1,No,Semi-Urban,7.7720962407184935,10.0,23,15.0,Actual (Training)
0x40de,20.0,4.8,Fog,Medium,0,Snack,scooter,1,No,Semi-Urban,16.60095424935038,10.0,18,35.0,Actual (Training)
0x5c9c,20.0,4.5,Cloudy,Medium,0,Meal,scooter,1,No,Metropolitian,12.294124530423586,10.0,18,38.0,Actual (Training)
0x82dd,23.0,4.6,Windy,Jam,0,Drinks,scooter,1,No,Semi-Urban,10.565262855251524,5.0,21,34.0,Actual (Training)
0x1df6,33.0,4.0,Windy,Jam,0,Meal,scooter,1,2,Semi-Urban,20.253058591951753,5.0,20,51.0,Actual (Training)
0x306e,39.0,4.8,Cloudy,High,1,Drinks,bicycle,1,No,Metropolitian,6.058870515565882,5.0,13,30.0,Actual (Training)
0x27dd,36.0,4.9,Sandstorms,Jam,1,Drinks,bicycle,0,No,Semi-Urban,17.098804215242584,5.0,21,25.0,Actual (Training)
0x9f88,36.0,4.6,Sandstorms,Low,0,Meal,scooter,0,No,Semi-Urban,16.83046129455743,15.0,22,23.0,Actual (Training)
0x727a,30.0,4.5,Sunny,Jam,1,Snack,scooter,1,No,Semi-Urban,16.901690663165983,10.0,19,21.0,Actual (Training)
0xc68b,23.0,4.9,Cloudy,Jam,1,Buffet,bicycle,0,No,Semi-Urban,4.405611015774126,5.0,19,26.0,Actual (Training)
0x62a1,34.0,4.7,Fog,Low,0,Drinks,scooter,1,No,Semi-Urban,10.725127399399225,15.0,23,39.0,Actual (Training)
0x1fb0,24.0,4.8,Fog,Jam,0,Drinks,scooter,2,No,Metropolitian,19.688246931881576,5.0,21,47.0,Actual (Training)
0x966b,38.0,4.6,Sandstorms,Low,2,Meal,bicycle,1,No,Semi-Urban,7.601874226722028,5.0,23,28.0,Actual (Training)
0x4485,24.0,4.7,Cloudy,Low,1,Buffet,bicycle,1,No,Semi-Urban,7.790489304769405,5.0,22,18.0,Actual (Training)
0x61da,24.0,4.5,Cloudy,Low,0,Buffet,scooter,1,No,Semi-Urban,1.5147453171152914,15.0,9,19.0,Actual (Training)
0x4565,27.0,4.8,Sunny,Jam,0,Meal,scooter,1,No,Semi-Urban,13.972036025783174,5.0,20,20.0,Actual (Training)
