ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Weather,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken(min),Distance_km,Prep_Time_min,Order_Hour
0x81ae,PUNERES17DEL03,22,4.7,Sunny,Low,2,Drinks,bicycle,0,1,Metropolitian,22.0,4.596738270616882,5.0,23
0x61d6,JAPRES08DEL03,27,4.9,Fog,Low,1,Meal,scooter,0,1,Semi-Urban,29.0,13.406088270680275,5.0,22
0xa40f,JAPRES13DEL03,29,4.7,Sandstorms,Low,2,Snack,bicycle,1,1,Semi-Urban,14.0,13.409462339213027,15.0,23
0xcbcc,DEHRES010DEL01,20,4.9,Sandstorms,Low,2,Drinks,motorcycle,0,1,Metropolitian,15.0,10.280572823486576,5.0,22
0x6c5c,HYDRES02DEL01,35,4.3,Windy,High,1,Snack,scooter,1,1,Metropolitian,34.0,6.147383751705428,5.0,14
0x2188,MYSRES13DEL02,38,4.6,Stormy,Low,1,Buffet,scooter,0,1,Metropolitian,18.0,12.435540495461442,10.0,22
0x84eb,CHENRES16DEL03,29,4.9,Fog,Medium,2,Buffet,scooter,1,1,Semi-Urban,14.0,4.65694538594946,15.0,17
0x8999,SURRES13DEL01,28,4.6,Stormy,Medium,1,Snack,scooter,0,1,Semi-Urban,27.0,6.081204324626466,5.0,15
0xd486,LUDHRES09DEL02,29,4.9,Stormy,Low,1,Snack,scooter,0,1,Metropolitian,10.0,7.325604384960364,10.0,23
0x6192,RANCHIRES010DEL03,30,4.7,Sunny,Medium,1,Buffet,bicycle,0,1,Semi-Urban,15.0,4.528236597449021,1360.0,20
0x394e,SURRES18DEL03,39,4.6,Sunny,Jam,0,Meal,scooter,1,1,Metropolitian,28.0,13.682504886916606,15.0,19
0x1341,INDORES09DEL02,32,5.0,Windy,Medium,2,Snack,bicycle,1,1,Semi-Urban,20.0,12.10015723816894,5.0,17
0x8bdb,HYDRES12DEL03,21,4.9,Windy,Medium,2,Meal,motorcycle,1,1,Semi-Urban,23.0,9.220418694558179,5.0,17
0x7a0e,HYDRES17DEL01,27,4.7,Windy,Jam,1,Buffet,bicycle,1,1,Semi-Urban,28.0,10.756383853403822,10.0,19
0x3175,JAPRES19DEL02,33,4.8,Stormy,Medium,2,Drinks,bicycle,1,1,Semi-Urban,27.0,7.448311138215936,5.0,17
0xc54a,LUDHRES08DEL03,29,4.7,Stormy,Medium,2,Buffet,bicycle,1,1,Semi-Urban,28.0,4.395281348843586,10.0,18
0x1f1d,MYSRES04DEL02,31,4.6,Sunny,Low,0,Meal,scooter,0,1,Semi-Urban,22.0,7.772466272035551,10.0,23
0x29b9,BANGRES06DEL01,35,4.6,Fog,Low,0,Meal,scooter,1,1,Metropolitian,25.0,1.5525609831264333,15.0,9
0x2681,COIMBRES04DEL02,23,4.6,Windy,Jam,1,Drinks,scooter,1,1,Metropolitian,23.0,12.463888116757749,5.0,20
0x7ebf,COIMBRES17DEL02,22,4.7,Stormy,Jam,2,Snack,bicycle,1,1,Metropolitian,26.0,12.463861442061555,10.0,19
0x82e4,BANGRES09DEL01,21,4.8,Sandstorms,Medium,2,Buffet,scooter,1,1,Semi-Urban,23.0,6.210607623190057,15.0,16
0x4a7c,BANGRES010DEL03,27,4.7,Sandstorms,Medium,2,Drinks,motorcycle,1,1,Semi-Urban,21.0,9.315745106316243,5.0,18
0x7141,SURRES09DEL01,27,4.8,Cloudy,Low,0,Buffet,scooter,1,1,Semi-Urban,16.0,1.5203447277401048,15.0,10
0x3b07,SURRES06DEL03,28,4.7,Cloudy,Low,0,Buffet,scooter,1,1,Semi-Urban,24.0,9.12108977493757,10.0,23
0xc86,BANGRES12DEL02,37,4.9,Fog,Medium,2,Meal,bicycle,1,1,Semi-Urban,18.0,7.763102784727143,5.0,18
0x4a11,RANCHIRES07DEL02,31,4.7,Sandstorms,Jam,0,Drinks,scooter,1,1,Metropolitian,46.0,12.074047498027575,15.0,20
0x5f12,RANCHIRES16DEL01,30,4.7,Cloudy,Medium,0,Snack,scooter,1,1,Semi-Urban,26.0,6.037193175494637,15.0,16
0x4f8c,SURRES16DEL03,29,4.8,Sandstorms,Medium,2,Meal,bicycle,1,1,Semi-Urban,28.0,4.561113588992224,10.0,17
0x788e,SURRES20DEL01,27,5.0,Fog,Medium,2,Snack,motorcycle,0,1,Semi-Urban,26.0,16.72238039080485,5.0,17
0xdfbc,AGRRES010DEL03,30,4.7,Sunny,Low,1,Snack,scooter,0,1,Metropolitian,15.0,8.929003109241874,10.0,22
0x7e1c,MYSRES11DEL02,27,4.8,Sunny,Medium,0,Buffet,scooter,0,1,Metropolitian,19.0,12.435256015114375,10.0,18
0x974a,INDORES20DEL01,26,4.7,Cloudy,Jam,0,Meal,scooter,1,2,Semi-Urban,45.0,16.63651695459671,15.0,20
0xa35b,JAPRES19DEL03,31,4.5,Windy,Jam,2,Buffet,bicycle,1,1,Semi-Urban,43.0,13.405971717381743,15.0,21
0x6317,SURRES11DEL03,20,4.9,Sunny,Low,1,Meal,bicycle,0,1,Metropolitian,21.0,4.561152341209805,10.0,23
0x3cf6,CHENRES18DEL02,26,5.0,Stormy,Jam,2,Snack,bicycle,1,1,Semi-Urban,23.0,7.762461854550194,5.0,21
0xc6a6,BHPRES08DEL03,28,4.6,Sandstorms,Low,2,Snack,bicycle,0,3,Metropolitian,11.0,9.059804963936871,10.0,23
0x7e00,SURRES02DEL03,34,4.8,Stormy,Jam,2,Snack,bicycle,1,1,Metropolitian,31.0,9.121044921629522,15.0,20
0xaf93,CHENRES01DEL03,22,5.0,Sunny,Low,2,Buffet,bicycle,1,1,Semi-Urban,20.0,9.314419797615273,15.0,23
0xafd8,MUMRES08DEL01,25,4.8,Cloudy,Low,2,Meal,scooter,1,1,Semi-Urban,19.0,1.5299884479314707,10.0,10
0x7722,MYSRES02DEL01,31,4.8,Sunny,Medium,1,Snack,scooter,1,1,Semi-Urban,21.0,6.218076509100711,5.0,16
0x947d,MUMRES20DEL02,26,4.7,Fog,Low,1,Snack,bicycle,0,1,Semi-Urban,18.0,3.05960707159485,10.0,10
0x3bef,BANGRES15DEL03,33,4.6,Sunny,Medium,0,Snack,scooter,0,1,Semi-Urban,28.0,4.6576255671472415,5.0,18
0x1219,SURRES19DEL03,38,5.0,Sandstorms,Jam,2,Snack,bicycle,1,1,Semi-Urban,32.0,9.12210553959038,10.0,20
0xb965,BANGRES15DEL03,23,4.7,Fog,Medium,1,Buffet,scooter,1,1,Metropolitian,12.0,9.314976789360625,5.0,17
0x5bc6,COIMBRES16DEL01,23,4.7,Sandstorms,Low,1,Buffet,bicycle,1,1,Metropolitian,12.0,1.558114851289754,15.0,10
0x5ffb,RANCHIRES13DEL01,36,4.9,Windy,Medium,0,Buffet,scooter,2,1,Metropolitian,34.0,6.037116126732456,10.0,16
0x5609,RANCHIRES07DEL02,36,4.9,Fog,Low,2,Meal,motorcycle,1,1,Semi-Urban,29.0,12.074047498027575,15.0,22
0x8e43,RANCHIRES19DEL03,25,4.8,Sandstorms,Medium,1,Buffet,bicycle,0,1,Semi-Urban,24.0,13.584306064167167,15.0,19
0x9cbc,RANCHIRES20DEL01,24,5.0,Cloudy,Medium,0,Snack,scooter,1,1,Semi-Urban,44.0,16.59866734050554,5.0,17
0xb587,HYDRES01DEL01,34,4.4,Windy,Jam,1,Snack,bicycle,0,1,Semi-Urban,44.0,16.903843893839564,5.0,20
0x5167,JAPRES19DEL03,22,4.7,Stormy,Jam,2,Meal,bicycle,0,1,Semi-Urban,20.0,8.937863682516157,15.0,21
0xac47,RANCHIRES18DEL03,37,4.8,Sunny,Low,1,Meal,scooter,1,3,Semi-Urban,12.0,4.528282400326011,5.0,22
0xd161,LUDHRES04DEL03,21,4.9,Sunny,Medium,1,Snack,bicycle,1,1,Semi-Urban,19.0,4.395007361329002,15.0,18
0x8d04,MYSRES16DEL01,20,4.9,Fog,Jam,1,Snack,bicycle,1,1,Semi-Urban,33.0,17.09819699771769,10.0,21
0x13ac,VADRES01DEL02,30,4.7,Windy,Low,0,Meal,scooter,1,1,Semi-Urban,24.0,3.0295617213530037,15.0,9
0xa57f,VADRES13DEL03,37,4.9,Sunny,Jam,0,Drinks,scooter,0,1,Metropolitian,23.0,4.544232356931077,10.0,21
0xb9e5,JAPRES17DEL02,28,4.9,Sunny,Low,1,Meal,bicycle,1,1,Semi-Urban,17.0,2.979750394372844,15.0,8
0x8b41,PUNERES16DEL02,38,4.7,Sunny,Low,0,Meal,scooter,1,1,Semi-Urban,20.0,3.0644857806760535,15.0,10
0xbc1a,VADRES14DEL02,26,4.8,Stormy,Low,2,Snack,bicycle,0,1,Semi-Urban,18.0,3.0295246341921644,5.0,8
0x9156,CHENRES17DEL03,25,4.8,Cloudy,Low,0,Buffet,scooter,1,1,Semi-Urban,21.0,9.313691518325752,10.0,22
0xca1,HYDRES19DEL01,20,4.7,Sunny,Medium,2,Meal,bicycle,1,1,Semi-Urban,10.0,6.14663364596065,15.0,15
0xa94b,HYDRES02DEL03,25,4.7,Sunny,Medium,0,Snack,scooter,1,1,Semi-Urban,15.0,9.22083460710881,5.0,19
0x45fa,HYDRES06DEL02,28,4.9,Sunny,Low,0,Drinks,scooter,0,1,Semi-Urban,14.0,3.0734222587643045,10.0,10
0xd0d0,KNPRES13DEL01,30,4.7,Sandstorms,Jam,1,Drinks,bicycle,1,1,Semi-Urban,38.0,10.444817974537816,1380.0,20
0x81c7,JAPRES16DEL03,24,4.9,Fog,Low,0,Snack,scooter,0,1,Metropolitian,23.0,20.856833724898493,10.0,22
0xc96,COIMBRES13DEL03,35,5.0,Cloudy,Jam,0,Meal,scooter,1,1,Semi-Urban,33.0,9.348403522662325,15.0,19
0x1e37,MUMRES13DEL02,21,4.5,Fog,Medium,0,Buffet,scooter,1,1,Semi-Urban,36.0,12.23475004893086,5.0,17
0x5249,SURRES07DEL02,32,4.8,Sunny,Jam,2,Buffet,bicycle,1,1,Semi-Urban,15.0,12.16161548161981,5.0,20
0x3158,COIMBRES17DEL02,24,4.1,Stormy,Low,0,Meal,scooter,1,1,Semi-Urban,16.0,3.116121839413475,10.0,10
0x84fe,COIMBRES010DEL02,20,4.8,Cloudy,Low,2,Meal,bicycle,1,1,Semi-Urban,27.0,12.464422665211348,5.0,22
0xa4af,CHENRES19DEL01,27,4.0,Windy,High,0,Drinks,scooter,1,1,Semi-Urban,33.0,6.209976450705328,10.0,13
0x26ae,PUNERES20DEL02,23,4.8,Sandstorms,Jam,2,Meal,motorcycle,1,1,Metropolitian,21.0,12.25501434480783,5.0,21
0x7a12,SURRES02DEL01,32,4.0,Sandstorms,Medium,1,Snack,scooter,2,1,Semi-Urban,32.0,6.080888252609821,5.0,15
0x37da,PUNERES18DEL02,28,4.9,Stormy,Medium,2,Snack,bicycle,1,1,Metropolitian,29.0,19.91296718928853,10.0,17
0x97ca,PUNERES010DEL03,25,4.2,Sandstorms,Jam,0,Meal,scooter,1,1,Semi-Urban,35.0,13.788747286078188,5.0,20
0x2924,COIMBRES11DEL03,31,3.4,Sunny,Low,0,Meal,scooter,1,1,Metropolitian,31.0,14.022298282479131,5.0,23
0x6ecf,RANCHIRES010DEL03,20,5.0,Fog,Jam,1,Drinks,bicycle,1,1,Semi-Urban,41.0,13.583302501334014,5.0,22
0x7a6a,COIMBRES13DEL02,38,4.7,Sunny,Medium,0,Buffet,scooter,1,1,Semi-Urban,21.0,7.790401360105752,10.0,18
0x628c,BANGRES15DEL02,31,4.8,Sandstorms,Low,1,Snack,bicycle,0,1,Semi-Urban,24.0,7.762556904358442,10.0,22
0x52e2,JAPRES07DEL02,36,4.8,Sandstorms,Medium,0,Buffet,scooter,1,1,Semi-Urban,36.0,19.37374583495492,5.0,18
0xa200,SURRES07DEL01,30,4.7,Windy,Low,0,Drinks,scooter,1,1,Semi-Urban,24.0,16.72143013885536,5.0,22
0x2997,MUMRES20DEL02,24,4.1,Cloudy,Jam,2,Buffet,motorcycle,1,1,Semi-Urban,39.0,19.88431857497891,15.0,20
0x7008,COIMBRES15DEL01,28,4.8,Windy,Low,1,Snack,bicycle,1,1,Semi-Urban,18.0,1.5581244322254744,15.0,9
0xc72d,AURGRES01DEL01,26,4.6,Fog,High,1,Buffet,scooter,0,1,Semi-Urban,22.0,1.5263914730559738,5.0,11
0xc3ed,ALHRES12DEL02,23,4.7,Fog,Jam,1,Buffet,scooter,1,1,Semi-Urban,33.0,19.472033277853686,15.0,21
0x88c1,SURRES04DEL03,28,4.8,Stormy,Jam,1,Buffet,bicycle,0,1,Semi-Urban,19.0,13.68148555689137,15.0,19
0x6d6c,BANGRES15DEL02,35,4.8,Cloudy,Low,2,Buffet,scooter,1,1,Semi-Urban,18.0,7.762556904358442,15.0,23
0x7421,CHENRES01DEL02,30,5.0,Windy,Jam,2,Snack,scooter,1,1,Semi-Urban,25.0,7.762092914972186,5.0,21
0x69ed,HYDRES06DEL01,34,5.0,Sandstorms,High,0,Snack,scooter,1,1,Semi-Urban,33.0,1.5367312329664098,5.0,11
0x78c2,JAPRES010DEL03,27,4.4,Cloudy,Medium,1,Snack,bicycle,1,1,Semi-Urban,32.0,20.85094842431187,10.0,17
0x6eaa,PUNERES05DEL03,29,4.6,Windy,Jam,1,Snack,scooter,1,1,Semi-Urban,20.0,9.192770952683546,15.0,20
0x18b9,RANCHIRES19DEL03,30,4.7,Sunny,Low,2,Meal,scooter,1,1,Metropolitian,12.0,9.056672984546829,215.0,20
0xcf84,KNPRES14DEL02,37,4.6,Sunny,Jam,0,Buffet,scooter,1,1,Semi-Urban,24.0,7.461394236453525,15.0,19
0xb4e6,SURRES14DEL01,36,5.0,Fog,Jam,2,Drinks,scooter,1,1,Semi-Urban,44.0,16.72211869180285,5.0,21
0x4e85,MYSRES16DEL03,31,4.4,Cloudy,Medium,1,Snack,bicycle,1,2,Semi-Urban,44.0,13.989695713800396,5.0,18
0x1255,VADRES05DEL01,30,4.8,Stormy,Low,0,Drinks,scooter,1,1,Semi-Urban,20.0,10.602497166339631,15.0,0
0x7740,VADRES03DEL01,24,4.3,Fog,Jam,1,Snack,scooter,1,1,Semi-Urban,34.0,10.60216485230212,10.0,19
0xb1b7,INDORES03DEL03,39,4.6,Cloudy,Low,2,Buffet,bicycle,1,1,Semi-Urban,16.0,4.53754359959467,5.0,23
0x2163,MYSRES15DEL01,37,4.3,Fog,High,1,Drinks,bicycle,0,1,Metropolitian,36.0,6.217525604924386,5.0,13
0x725b,INDORES03DEL02,31,5.0,Sandstorms,Medium,0,Snack,scooter,1,1,Semi-Urban,32.0,12.099096916817196,5.0,18
0x538f,RANCHIRES01DEL01,22,4.8,Stormy,Jam,1,Drinks,bicycle,1,1,Semi-Urban,28.0,10.562878909252845,5.0,19
0xabad,BANGRES06DEL01,34,3.5,Sandstorms,Medium,1,Meal,bicycle,1,1,Semi-Urban,38.0,17.076492495612452,5.0,17
0xd326,KOLRES16DEL02,27,4.9,Fog,Medium,1,Snack,bicycle,0,1,Semi-Urban,26.0,12.107734496942113,5.0,17
0xe120,KOCRES12DEL01,34,4.1,Fog,Jam,2,Buffet,motorcycle,0,1,Semi-Urban,48.0,17.165842266656078,15.0,20
0xb900,RANCHIRES16DEL03,24,4.6,Sunny,Low,0,Snack,scooter,1,1,Semi-Urban,19.0,4.527973054243058,10.0,22
0x1874,CHENRES03DEL02,29,4.6,Windy,High,0,Drinks,scooter,1,1,Semi-Urban,22.0,3.104402431477901,10.0,11
0xdde9,LUDHRES11DEL03,25,4.9,Fog,Medium,1,Meal,scooter,1,1,Semi-Urban,31.0,20.506934775865457,5.0,18
0x26e0,PUNERES06DEL02,36,4.4,Sandstorms,Jam,0,Buffet,scooter,1,1,Metropolitian,51.0,12.25659774869038,15.0,21
0x26b0,SURRES12DEL01,33,4.7,Stormy,Low,1,Meal,bicycle,1,1,Metropolitian,24.0,1.520309052937885,5.0,10
0xcc1,HYDRES04DEL01,22,4.8,Fog,High,1,Buffet,scooter,0,1,Semi-Urban,22.0,1.5369113551350593,5.0,11
0xae17,BANGRES08DEL03,20,4.9,Stormy,Jam,0,Buffet,scooter,0,1,Semi-Urban,19.0,4.65825552423237,15.0,20
0x478d,JAPRES20DEL01,37,4.3,Fog,Low,0,Meal,scooter,2,1,Semi-Urban,43.0,10.425475100056353,5.0,22
0x7b21,COIMBRES01DEL03,22,4.7,Cloudy,Medium,1,Snack,bicycle,1,1,Semi-Urban,12.0,4.674220356187266,5.0,17
0xd554,LUDHRES06DEL02,25,4.5,Stormy,Jam,1,Drinks,bicycle,0,1,Semi-Urban,19.0,19.042397449611613,15.0,21
0xdebb,AGRRES010DEL01,38,4.7,Windy,Low,1,Buffet,scooter,1,1,Metropolitian,28.0,10.416963824321584,5.0,22
0xae1f,INDORES16DEL02,29,4.2,Windy,Low,0,Buffet,scooter,1,1,Semi-Urban,21.0,3.0251533668867396,15.0,10
0x46fa,CHENRES16DEL02,20,4.9,Fog,Jam,2,Buffet,scooter,0,1,Metropolitian,21.0,7.7614224372753755,15.0,21
0x8183,PUNERES05DEL03,21,4.7,Sunny,Jam,2,Drinks,bicycle,0,1,Semi-Urban,13.0,4.596576884051942,5.0,20
0x3b4f,MYSRES02DEL01,27,4.7,Fog,Low,2,Drinks,motorcycle,1,1,Semi-Urban,14.0,1.5545625412407003,5.0,8
0x9833,MYSRES09DEL01,35,4.8,Windy,Low,0,Drinks,scooter,1,1,Semi-Urban,28.0,10.880951367269885,10.0,23
0x8ea7,CHENRES09DEL03,35,4.9,Sunny,Low,1,Snack,scooter,0,1,Metropolitian,18.0,9.313705947300656,15.0,23
0x20ef,BANGRES20DEL01,23,5.0,Stormy,Medium,2,Buffet,bicycle,1,1,Semi-Urban,26.0,17.076725433736602,15.0,17
0xc88e,KOCRES010DEL01,30,4.8,Sunny,Low,1,Drinks,scooter,1,1,Metropolitian,28.0,17.164609401577533,5.0,22
0xd358,AURGRES05DEL03,28,4.6,Fog,Jam,2,Meal,bicycle,1,1,Metropolitian,28.0,9.157688902749936,10.0,21
0x7511,MYSRES15DEL01,31,4.0,Cloudy,Jam,2,Buffet,scooter,1,1,Semi-Urban,40.0,17.0970739431768,10.0,19
0x8290,MYSRES20DEL01,32,4.8,Sandstorms,Low,0,Meal,scooter,0,1,Semi-Urban,20.0,17.09752492719776,5.0,23
0x118a,VADRES13DEL02,34,4.6,Fog,Jam,2,Buffet,motorcycle,1,1,Semi-Urban,33.0,7.573470125639189,15.0,20
0x33e3,COIMBRES03DEL02,37,4.9,Sandstorms,Low,1,Buffet,bicycle,0,1,Semi-Urban,25.0,20.252959556511744,15.0,22
0xe037,KOLRES02DEL03,39,5.0,Fog,Low,0,Buffet,scooter,0,1,Semi-Urban,28.0,4.541151313453414,5.0,23
0x6926,RANCHIRES05DEL02,35,4.8,Cloudy,Low,0,Buffet,scooter,1,1,Semi-Urban,27.0,3.0188687420087144,5.0,8
0x521c,INDORES010DEL03,33,4.7,Fog,Medium,2,Snack,scooter,0,1,Semi-Urban,17.0,9.074684164326316,5.0,17
0x67ab,SURRES01DEL01,33,4.4,Sandstorms,Jam,0,Meal,scooter,1,2,Semi-Urban,43.0,10.641057010178418,15.0,20
0xf10,HYDRES13DEL02,32,4.9,Windy,Low,0,Meal,scooter,1,1,Semi-Urban,25.0,12.293508819559186,5.0,22
0x5690,PUNERES15DEL02,33,4.8,Cloudy,Jam,1,Drinks,bicycle,2,1,Metropolitian,44.0,19.91059239709516,15.0,20
0xcbb4,ALHRES17DEL03,37,4.8,Cloudy,Medium,0,Snack,scooter,1,1,Semi-Urban,32.0,4.494246018081996,15.0,18
0x8ef2,MUMRES03DEL03,24,4.8,Sunny,Jam,2,Meal,bicycle,1,1,Metropolitian,18.0,13.762097103297643,15.0,21
0x6008,BANGRES02DEL01,34,4.6,Sandstorms,High,0,Snack,scooter,1,1,Semi-Urban,36.0,6.210169290102755,5.0,14
0x46f1,MYSRES20DEL02,21,4.4,Windy,Jam,0,Snack,scooter,1,1,Semi-Urban,38.0,12.434913132379245,15.0,20
0x38ff,JAPRES01DEL03,27,4.7,Cloudy,Jam,1,Drinks,scooter,0,1,Metropolitian,34.0,4.46931202175492,5.0,19
0x1e23,SURRES09DEL02,35,5.0,Sandstorms,Low,2,Snack,bicycle,1,1,Semi-Urban,16.0,19.760743726313585,15.0,23
0x4a89,HYDRES03DEL01,35,4.4,Sandstorms,Jam,1,Buffet,scooter,1,1,Semi-Urban,32.0,10.7572047086705,15.0,21
0x90fe,MUMRES18DEL02,31,4.1,Sandstorms,Low,0,Meal,scooter,1,1,Metropolitian,32.0,3.059554247595471,5.0,9
0xafb3,CHENRES13DEL02,34,4.7,Sandstorms,Medium,2,Snack,motorcycle,1,1,Semi-Urban,30.0,12.418462399627495,5.0,18
0x6300,SURRES04DEL03,21,4.5,Sunny,Jam,2,Meal,motorcycle,0,1,Metropolitian,14.0,4.560926278066122,5.0,19
0xb017,SURRES01DEL03,29,4.7,Sunny,Low,1,Drinks,scooter,1,1,Semi-Urban,15.0,9.121049806498666,10.0,23
0x90d1,VADRES14DEL01,30,4.7,Cloudy,Medium,1,Snack,bicycle,1,1,Metropolitian,15.0,6.058848944530401,15.0,16
0xd123,GOARES13DEL01,30,4.8,Sunny,High,2,Meal,bicycle,1,1,Semi-Urban,21.0,6.176431857672641,10.0,14
0x31ca,CHENRES08DEL02,35,4.4,Sandstorms,Low,0,Buffet,scooter,1,1,Semi-Urban,26.0,3.104827485600479,15.0,8
0x581e,INDORES03DEL01,32,4.4,Fog,Low,0,Snack,scooter,1,1,Metropolitian,41.0,16.63541627418215,15.0,23
0xb9fa,BANGRES06DEL01,27,5.0,Cloudy,Low,2,Snack,bicycle,1,1,Metropolitian,10.0,1.5525609831264333,10.0,10
0x6720,MUMRES06DEL01,39,4.7,Sunny,High,2,Drinks,scooter,0,1,Semi-Urban,23.0,6.1198667120156145,5.0,14
0x8641,JAPRES17DEL02,33,4.8,Fog,Jam,0,Buffet,scooter,1,1,Semi-Urban,31.0,7.448937379729502,15.0,19
0x2310,CHENRES15DEL03,37,4.3,Stormy,Jam,0,Meal,scooter,1,2,Semi-Urban,46.0,9.314044064891696,15.0,20
0x5dff,INDORES02DEL01,35,4.9,Cloudy,Low,0,Meal,scooter,1,1,Semi-Urban,25.0,1.513073455729525,5.0,8
0x2e3e,PUNERES010DEL02,24,4.9,Sandstorms,Jam,1,Drinks,scooter,0,1,Semi-Urban,27.0,12.256834609677016,15.0,20
0xdfe,SURRES14DEL02,27,4.5,Sandstorms,Medium,1,Drinks,scooter,0,1,Metropolitian,21.0,7.60168152834193,5.0,17
0x9399,VADRES010DEL03,35,4.6,Sunny,Low,2,Buffet,scooter,1,1,Semi-Urban,17.0,13.631339548300275,15.0,22
0x644,BANGRES04DEL02,30,4.7,Sunny,Jam,0,Meal,scooter,1,1,Semi-Urban,31.0,12.41960204102968,5.0,20
0x1bde,MYSRES08DEL02,25,4.6,Fog,Medium,1,Drinks,bicycle,0,1,Metropolitian,25.0,20.20729968887068,10.0,19
0x52c,PUNERES14DEL02,30,4.7,Sunny,Low,1,Drinks,scooter,1,1,Semi-Urban,21.0,19.9172484157288,1315.0,20
0x9f1f,PUNERES19DEL02,37,3.5,Cloudy,Low,1,Buffet,bicycle,1,1,Semi-Urban,35.0,19.914686965545187,10.0,23
0x6cbd,JAPRES01DEL02,21,4.9,Cloudy,Low,0,Buffet,scooter,1,1,Metropolitian,20.0,11.916994721599234,5.0,22
0xadb0,RANCHIRES010DEL02,31,4.6,Sunny,Medium,0,Drinks,scooter,1,1,Semi-Urban,21.0,7.546800541055753,10.0,18
0xac90,MYSRES19DEL02,35,4.5,Cloudy,Low,1,Snack,bicycle,1,1,Semi-Urban,15.0,7.7720962407184935,10.0,23
0x40de,RANCHIRES07DEL01,20,4.8,Fog,Medium,0,Snack,scooter,1,1,Semi-Urban,35.0,16.60095424935038,10.0,18
0x5c9c,HYDRES02DEL02,20,4.5,Cloudy,Medium,0,Meal,scooter,1,1,Metropolitian,38.0,12.294124530423586,10.0,18
0x82dd,RANCHIRES18DEL01,23,4.6,Windy,Jam,0,Drinks,scooter,1,1,Semi-Urban,34.0,10.565262855251524,5.0,21
0x1df6,COIMBRES05DEL02,33,4.0,Windy,Jam,0,Meal,scooter,1,2,Semi-Urban,51.0,20.253058591951753,5.0,20
0x306e,VADRES05DEL01,39,4.8,Cloudy,High,1,Drinks,bicycle,1,1,Metropolitian,30.0,6.058870515565882,5.0,13
0x27dd,MYSRES08DEL01,36,4.9,Sandstorms,Jam,1,Drinks,bicycle,0,1,Semi-Urban,25.0,17.098804215242584,5.0,21
0x9f88,MUMRES010DEL01,36,4.6,Sandstorms,Low,0,Meal,scooter,0,1,Semi-Urban,23.0,16.83046129455743,15.0,22
0x727a,HYDRES19DEL01,30,4.5,Sunny,Jam,1,Snack,scooter,1,1,Semi-Urban,21.0,16.901690663165983,10.0,19
0xc68b,DEHRES13DEL03,23,4.9,Cloudy,Jam,1,Buffet,bicycle,0,1,Semi-Urban,26.0,4.405611015774126,5.0,19
0x62a1,PUNERES17DEL01,34,4.7,Fog,Low,0,Drinks,scooter,1,1,Semi-Urban,39.0,10.725127399399225,15.0,23
0x1fb0,VADRES06DEL02,24,4.8,Fog,Jam,0,Drinks,scooter,2,1,Metropolitian,47.0,19.688246931881576,5.0,21
0x966b,SURRES19DEL02,38,4.6,Sandstorms,Low,2,Meal,bicycle,1,1,Semi-Urban,28.0,7.601874226722028,5.0,23
